name,UUID,category,cmui_swatch,in_mix_mode,in_clamp,in_invert,in_debug,in_k1_mode,in_k1_color,in_k1_hcl_offset,in_g1_interp_mode,in_g1_staircase_steps,in_g1_chroma_boost,in_g1_lightness_boost,in_k2_enabled,in_k2_position,in_k2_mode,in_k2_color,in_k2_hcl_offset,in_g2_interp_mode,in_g2_staircase_steps,in_g2_chroma_boost,in_g2_lightness_boost,in_k3_enabled,in_k3_position,in_k3_mode,in_k3_color,in_k3_hcl_offset,in_g3_interp_mode,in_g3_staircase_steps,in_g3_chroma_boost,in_g3_lightness_boost,in_k4_mode,in_k4_color,in_k4_hcl_offset
Palette - Andreuzza's,Palette-Andreuzza's,Gradient,Swatch-Torus,0,1,0,0,0,0.843137 0.0235294 0.321569,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,1.0 0.00784314 0.368627,0.0 0.0 0.0
Palette - Anwar,Palette-Anwar,Gradient,Swatch-Torus,0,1,0,0,0,0.2 0.301961 0.313726,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.796078 0.792157 0.647059,0.0 0.0 0.0
Palette - Aqua Marine,Palette-AquaMarine,Gradient,Swatch-Torus,0,1,0,0,0,0.101961 0.160784 0.501961,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.14902 0.815686 0.807843,0.0 0.0 0.0
Palette - Aqualicious,Palette-Aqualicious,Gradient,Swatch-Torus,0,1,0,0,0,0.313726 0.788235 0.764706,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.588235 0.870588 0.854902,0.0 0.0 0.0
Palette - Argon,Palette-Argon,Gradient,Swatch-Torus,0,1,0,0,0,0.0117647 0.0 0.117647,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.45098 0.0117647 0.752941,0.0 0.0 0.0
Palette - Army,Palette-Army,Gradient,Swatch-Torus,0,1,0,0,0,0.254902 0.301961 0.0431373,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.447059 0.478431 0.0901961,0.0 0.0 0.0
Palette - Ash,Palette-Ash,Gradient,Swatch-Torus,0,1,0,0,0,0.376471 0.423529 0.533333,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.247059 0.298039 0.419608,0.0 0.0 0.0
Palette - Atlas,Palette-Atlas,Gradient,Swatch-Torus,0,1,0,0,0,0.996078 0.67451 0.368627,0.0 0.0 0.0,0,1,0.0,0.0,1,0.5,0,0.780392 0.47451 0.815686,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.294118 0.752941 0.784314,0.0 0.0 0.0
Palette - Aubergine,Palette-Aubergine,Gradient,Swatch-Torus,0,1,0,0,0,0.666667 0.027451 0.419608,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.380392 0.0156863 0.372549,0.0 0.0 0.0
Palette - Autumn,Palette-Autumn,Gradient,Swatch-Torus,0,1,0,0,0,0.854902 0.823529 0.6,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.690196 0.854902 0.72549,0.0 0.0 0.0
